"lon","lat","date","rain"
"21.25","-26.25",1985-09-01,0.0691733956336975
"23.75","-26.25",1985-09-01,0.246266067028046
"21.25","-28.75",1985-10-01,0.685624837875366
"23.75","-28.75",1985-10-01,1.75144171714783
"21.25","-26.25",1985-10-01,0.535137057304382
"23.75","-26.25",1985-10-01,1.07358336448669
"21.25","-28.75",1985-11-01,1.23549520969391
"23.75","-28.75",1985-11-01,1.36412680149078
"21.25","-26.25",1985-11-01,0.396869152784348
"23.75","-26.25",1985-11-01,0.968328773975372
"21.25","-28.75",1985-12-01,1.398805975914
"23.75","-28.75",1985-12-01,2.50082397460938
"21.25","-26.25",1985-12-01,1.14388859272003
"23.75","-26.25",1985-12-01,1.97936940193176
"21.25","-28.75",1986-01-01,0.497290730476379
"23.75","-28.75",1986-01-01,1.88876557350159
"21.25","-26.25",1986-01-01,0.910430073738098
"23.75","-26.25",1986-01-01,1.94296813011169
"21.25","-28.75",1986-02-01,0.367559194564819
"23.75","-28.75",1986-02-01,1.17236769199371
"21.25","-26.25",1986-02-01,1.45938897132874
"23.75","-26.25",1986-02-01,1.60886764526367
"21.25","-28.75",1986-03-01,0.485182851552963
"23.75","-28.75",1986-03-01,1.04935240745544
"21.25","-26.25",1986-03-01,0.407346189022064
"23.75","-26.25",1986-03-01,0.60114187002182
"21.25","-28.75",1986-04-01,0.45287549495697
"23.75","-28.75",1986-04-01,0.536468386650085
"21.25","-26.25",1986-04-01,0.996445119380951
"23.75","-26.25",1986-04-01,0.592915177345276
"21.25","-28.75",1986-05-01,0.0408306904137135
"23.75","-28.75",1986-05-01,0.00524403667077422
"21.25","-26.25",1986-05-01,0.0165000464767218
"23.75","-26.25",1986-05-01,0.0109276575967669
"21.25","-28.75",1986-06-01,0.434611827135086
"23.75","-28.75",1986-06-01,0.375203341245651
"21.25","-26.25",1986-06-01,0.311753690242767
"23.75","-26.25",1986-06-01,0.190107345581055
"21.25","-28.75",1986-07-01,0.0361366495490074
"23.75","-28.75",1986-07-01,0.007750921882689
"21.25","-26.25",1986-07-01,0.0441969893872738
"23.75","-26.25",1986-07-01,0.037902407348156
"21.25","-28.75",1986-08-01,0.0217128358781338
"23.75","-28.75",1986-08-01,0.211938247084618
"21.25","-26.25",1986-08-01,0.00484618172049522
"23.75","-26.25",1986-08-01,0.142421379685402
"21.25","-28.75",1986-09-01,0.152080744504929
"23.75","-28.75",1986-09-01,0.609049081802368
"21.25","-26.25",1986-09-01,0.373970329761505
"23.75","-26.25",1986-09-01,0.42923304438591
"21.25","-28.75",1986-10-01,0.416222453117371
"23.75","-28.75",1986-10-01,1.02707719802856
"21.25","-26.25",1986-10-01,1.27815580368042
"23.75","-26.25",1986-10-01,2.36463189125061
"21.25","-28.75",1986-11-01,0.466187804937363
"23.75","-28.75",1986-11-01,1.1063951253891
"21.25","-26.25",1986-11-01,1.85735988616943
"23.75","-26.25",1986-11-01,2.90632152557373
"21.25","-28.75",1986-12-01,0.0395163297653198
"23.75","-28.75",1986-12-01,0.396982967853546
"21.25","-26.25",1986-12-01,0.267248809337616
"23.75","-26.25",1986-12-01,0.939710080623627
"21.25","-28.75",1987-01-01,0.0176756773144007
"23.75","-28.75",1987-01-01,0.501461923122406
"21.25","-26.25",1987-01-01,0.130601525306702
"23.75","-26.25",1987-01-01,0.778241753578186
"21.25","-28.75",1987-02-01,0.71256148815155
"23.75","-28.75",1987-02-01,2.64738035202026
"21.25","-26.25",1987-02-01,1.92939329147339
"23.75","-26.25",1987-02-01,2.15466713905334
"21.25","-28.75",1987-03-01,0.370991140604019
"23.75","-28.75",1987-03-01,0.96555757522583
"21.25","-26.25",1987-03-01,0.670737862586975
"23.75","-26.25",1987-03-01,1.1995438337326
"21.25","-28.75",1987-04-01,0.573535621166229
"23.75","-28.75",1987-04-01,0.732112646102905
"21.25","-26.25",1987-04-01,0.616534888744354
"23.75","-26.25",1987-04-01,0.280999064445496
"21.25","-28.75",1987-05-01,0.142257064580917
"23.75","-28.75",1987-05-01,0.0186089519411325
"21.25","-26.25",1987-05-01,0.0151059487834573
"23.75","-26.25",1987-05-01,0.00482456013560295
"21.25","-28.75",1987-06-01,0.0290492605417967
"23.75","-28.75",1987-06-01,0.0232485309243202
"21.25","-26.25",1987-06-01,0.00219854526221752
"23.75","-26.25",1987-06-01,0.00389430345967412
"21.25","-28.75",1987-07-01,0.263304948806763
"23.75","-28.75",1987-07-01,0.638424873352051
"21.25","-26.25",1987-07-01,0.111772701144218
"23.75","-26.25",1987-07-01,0.101203128695488
"21.25","-28.75",1987-08-01,0.00655086245387793
"23.75","-28.75",1987-08-01,0.0826377794146538
"21.25","-26.25",1987-08-01,0.00320283486507833
"23.75","-26.25",1987-08-01,0.0580918565392494
"21.25","-28.75",1987-09-01,0.683416724205017
"23.75","-28.75",1987-09-01,2.1018693447113
"21.25","-26.25",1987-09-01,0.826214671134949
"23.75","-26.25",1987-09-01,1.91859459877014
"21.25","-28.75",1987-10-01,0.250098347663879
"23.75","-28.75",1987-10-01,0.456481456756592
"21.25","-26.25",1987-10-01,0.409107148647308
"23.75","-26.25",1987-10-01,0.525742530822754
"21.25","-28.75",1987-11-01,0.805739104747772
"23.75","-28.75",1987-11-01,1.3745139837265
"21.25","-26.25",1987-11-01,1.50659418106079
"23.75","-26.25",1987-11-01,1.76028954982758
"21.25","-28.75",1987-12-01,0.269941121339798
"23.75","-28.75",1987-12-01,1.35290277004242
"21.25","-26.25",1987-12-01,1.16648328304291
"23.75","-26.25",1987-12-01,2.84268021583557
"21.25","-28.75",1988-01-01,0.2019182741642
"23.75","-28.75",1988-01-01,0.512151896953583
"21.25","-26.25",1988-01-01,1.35723185539246
"23.75","-26.25",1988-01-01,1.09922289848328
"21.25","-28.75",1988-02-01,2.7736713886261
"23.75","-28.75",1988-02-01,9.93816089630127
"21.25","-26.25",1988-02-01,3.65834522247314
"23.75","-26.25",1988-02-01,8.62641048431396
"21.25","-28.75",1988-03-01,2.43161845207214
"23.75","-28.75",1988-03-01,3.4413321018219
"21.25","-26.25",1988-03-01,2.57755374908447
"23.75","-26.25",1988-03-01,3.00247311592102
"21.25","-28.75",1988-04-01,1.30866456031799
"23.75","-28.75",1988-04-01,3.63338804244995
"21.25","-26.25",1988-04-01,2.23992681503296
"23.75","-26.25",1988-04-01,2.74790954589844
"21.25","-28.75",1988-05-01,0.119647137820721
"23.75","-28.75",1988-05-01,0.0974017456173897
"21.25","-26.25",1988-05-01,0.0602979473769665
"23.75","-26.25",1988-05-01,0.0836119577288628
"21.25","-28.75",1988-06-01,0.0159294381737709
"23.75","-28.75",1988-06-01,0.170890927314758
"21.25","-26.25",1988-06-01,0.00464514689520001
"23.75","-26.25",1988-06-01,0.0744079872965813
"21.25","-28.75",1988-07-01,0.00420465786010027
"23.75","-28.75",1988-07-01,0.00455883238464594
"21.25","-26.25",1988-07-01,0.00332939228974283
"23.75","-26.25",1988-07-01,0.00156690506264567
"21.25","-28.75",1988-08-01,0.163221642374992
"23.75","-28.75",1988-08-01,0.0389130376279354
"21.25","-26.25",1988-08-01,0.0128354709595442
"23.75","-26.25",1988-08-01,0.0194129757583141
"21.25","-28.75",1988-09-01,0.466475903987885
"23.75","-28.75",1988-09-01,1.19046545028687
"21.25","-26.25",1988-09-01,0.250495076179504
"23.75","-26.25",1988-09-01,0.622405052185059
"21.25","-28.75",1988-10-01,0.271437376737595
"23.75","-28.75",1988-10-01,1.63030874729156
"21.25","-26.25",1988-10-01,0.527588129043579
"23.75","-26.25",1988-10-01,2.18207716941833
"21.25","-28.75",1988-11-01,0.670815825462341
"23.75","-28.75",1988-11-01,1.89987897872925
"21.25","-26.25",1988-11-01,0.876629769802094
"23.75","-26.25",1988-11-01,1.98659324645996
"21.25","-28.75",1988-12-01,1.91337764263153
"23.75","-28.75",1988-12-01,3.33836054801941
"21.25","-26.25",1988-12-01,1.99775350093842
"23.75","-26.25",1988-12-01,2.33598947525024
"21.25","-28.75",1989-01-01,1.31332302093506
"23.75","-28.75",1989-01-01,2.96042919158936
"21.25","-26.25",1989-01-01,2.18394994735718
"23.75","-26.25",1989-01-01,3.50450158119202
"21.25","-28.75",1989-02-01,2.84701418876648
"23.75","-28.75",1989-02-01,3.94870090484619
"21.25","-26.25",1989-02-01,3.43116593360901
"23.75","-26.25",1989-02-01,5.15823173522949
"21.25","-28.75",1989-03-01,0.435608893632889
"23.75","-28.75",1989-03-01,1.00591039657593
"21.25","-26.25",1989-03-01,0.760591864585876
